CASE,WORK,SENT-ADDR,TOK-ADDR,LEM,TYPEA,TYPEB,SENTLEN,WORKLEN
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|32,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,26,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|32,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|32|16,desum,main,main,26,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33|1,hic,spatial,para,13,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33|3,semper,temporal,para,13,4393
3,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33|10,dum,temporal,para,13,4393
4,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,dum,temporal,hypo,13,4393
5,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|33|4,sum,main,main,13,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|37,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,24,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|37,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|37|2,video,main,main,24,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|38,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|38|4,nondum,temporal,para,12,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|38,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|38|12,conor,main,main,12,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|39,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|39|7,hic,spatial,para,36,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|39,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|39|31,audeo,main,main,36,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|40,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|40|9,ut,temporal,hypo,11,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|40,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|40|4,haereo,main,main,11,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|41,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|41|3,solvo,main,main,12,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|41,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|41|8,pono,main,main,12,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|42,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|42|3,gaudeo,main,main,6,4393
